Car,Weight,Acceleration
Chevrolet Caprice Classic,3880,12.5
Oldsmobile Cutlass Supreme,4060,19
Dodge Monaco Brougham,4140,13.7
Mercury Cougar Brougham,4295,14.9
Chevrolet Concours,3520,16.4
Buick Skylark,3425,16.9
Plymouth Volare Custom,3630,17.7
Ford Grenada,3525,19
Pontiac Grand Prix LJ,4220,11.1
Chevrolet Monte Carlo Landau,4165,11.4
Chrysler Cordoba,4325,12.2
Ford Thunderbird,4335,14.5
Volkswagen Rabbit Custom,1940,14.5
Pontiac Sunbird Coupe,2740,16
Toyota Corolla Liftback,2265,18.2
Ford Mustang II 2+2,2755,15.8
Chevrolet Chevette,2051,17
Dodge Colt m/m,2075,15.9
Subaru DL,1985,16.4
Volkswagen Dasher,2190,14.1
Datsun 810,2815,14.5
BMW 320i,2600,12.8
Mazda RX-4,2720,13.5
Volkswagen Rabbit Custom Diesel,1985,21.5
Ford Fiesta,1800,14.4
Mazda GLC Deluxe,1985,19.4
Datsun B210 GX,2070,18.6
Honda Civic CVCC,1800,16.4
Oldsmobile Cutlass Salon Brougham,3365,15.5
Dodge Diplomat,3735,13.2
Mercury Monarch ghia,3570,12.8
Pontiac Phoenix LJ,3535,19.2
Chevrolet Malibu,3155,18.2
Ford Fairmont (auto),2965,15.8
Ford Fairmont (man),2720,15.4
Plymouth Volare,3430,17.2
AMC Concord,3210,17.2
Buick Century Special,3380,15.8
Mercury Zephyr,3070,16.7
Dodge Aspen,3620,18.7
AMC Concord d/l,3410,15.1
Chevrolet Monte Carlo Landau,3425,13.2
Buick Regal Sport Coupe (turbo),3445,13.4
Ford Futura,3205,11.2
Dodge Magnum XE,4080,13.7
Chevrolet Chevette,2155,16.5
Toyota Corolla,2560,14.2
Datsun 510,2300,14.7
Dodge Omni,2230,14.5
Toyota Celica GT Liftback,2515,14.8
Plymouth Sapporo,2745,16.7
Oldsmobile Starfire SX,2855,17.6
Datsun 200-SX,2405,14.9
Audi 5000,2830,15.9
Volvo 264gl,3140,13.6
Saab 99gle,2795,15.7
Peugeot 604sl,3410,15.8
Volkswagen Scirocco,1990,14.9
Honda Accord LX,2135,16.6
Pontiac Lemans V6,3245,15.4
Mercury Zephyr 6,2990,18.2
Ford Fairmont 4,2890,17.3
AMC Concord DL 6,3265,18.2
Dodge Aspen 6,3360,16.6
Chevrolet Caprice Classic,3840,15.4
Ford LTD Landau,3725,13.4
Mercury Grand Marquis,3955,13.2
Dodge St. Regis,3830,15.2
Buick Estate Wagon (sw),4360,14.9
Ford Country Squire (sw),4054,14.3
Chevrolet Malibu Classic (sw),3605,15
Chrysler Lebaron Town @ Country (sw),3940,13
Volkswagen Rabbit Custom,1925,14
Mazda GLC Deluxe,1975,15.2
Dodge Colt Hatchback Custom,1915,14.4
AMC Spirit DL,2670,15
Mercedes Benz 300d,3530,20.1
Cadillac Eldorado,3900,17.4
Peugeot 504,3190,24.8
Oldsmobile Cutlass Salon Brougham,3420,22.2
Plymouth Horizon,2200,13.2
Plymouth Horizon TC3,2150,14.9
Datsun 210,2020,19.2
Fiat Strada Custom,2130,14.7
Buick Skylark Limited,2670,16
Chevrolet Citation,2595,11.3
Oldsmobile Omega Brougham,2700,12.9
Pontiac Phoenix,2556,13.2
Volkswagen Rabbit,2144,14.7
Toyota Corolla Tercel,1968,18.8
Chevrolet Chevette,2120,15.5
Datsun 310,2019,16.4
Chevrolet Citation,2678,16.5
Ford Fairmont,2870,18.1
AMC Concord,3003,20.1
Dodge Aspen,3381,18.7
Audi 4000,2188,15.8
Toyota Corolla Liftback,2711,15.5
Mazda 626,2542,17.5
Datsun 510 Hatchback,2434,15
Toyota Corolla,2265,15.2
Mazda GLC,2110,17.9
Dodge Colt,2800,14.4
Datsun 210,2110,19.2
Volkswagen Rabbit C (Diesel),2085,21.7
Volkswagen Dasher (diesel),2335,23.7
Audi 5000s (diesel),2950,19.9
Mercedes-Benz 240d,3250,21.8
Honda Civic 1500 gl,1850,13.8
Renault Lecar Deluxe,1835,17.3
Subaru DL,2145,18
Volkswagen Rabbit,1845,15.3
Datsun 280-ZX,2910,11.4
Mazda RX-7 GS,2420,12.5
Triumph TR7 Coupe,2500,15.1
Ford Mustang Cobra,2905,14.3
Honda Accord,2290,17
Plymouth Reliant,2490,15.7
Buick Skylark,2635,16.4
Dodge Aries Wagon (sw),2620,14.4
Chevrolet Citation,2725,12.6
Plymouth Reliant,2385,12.9
Toyota Starlet,1755,16.9
Plymouth Champ,1875,16.4
Honda Civic 1300,1760,16.1
Subaru,2065,17.8
Datsun 210 MPG,1975,19.4
Toyota Tercel,2050,17.3
Mazda GLC 4,1985,16
Plymouth Horizon 4,2215,14.9
Ford Escort 4W,2045,16.2
Ford Escort 2H,2380,20.7
Volkswagen Jetta,2190,14.2
Renault 18i,2320,15.8
Honda Prelude,2210,14.4
Toyota Corolla,2350,16.8
Datsun 200SX,2615,14.8
Mazda 626,2635,18.3
Peugeot 505s Turbo Diesel,3230,20.4
Saab 900s,2800,15.4
Volvo Diesel,3160,19.6
Toyota Cressida,2900,12.6
Datsun 810 Maxima,2930,13.8
Buick Century,3415,15.8
Oldsmobile Cutlass LS,3725,19
Ford Grenada gl,3060,17.1
Chrysler Lebaron Salon,3465,16.6
Chevrolet Cavalier,2605,19.6
Chevrolet Cavalier Wagon,2640,18.6
Chevrolet Cavalier 2-door,2395,18
Pontiac J2000 SE Hatchback,2575,16.2
Dodge Aries SE,2525,16
Pontiac Phoenix,2735,18
Ford Fairmont Futura,2865,16.4
AMC Concord DL,3035,20.5
Volkswagen Rabbit l,1980,15.3
Mazda GLC Custom l,2025,18.2
Mazda GLC Custom,1970,17.6
Plymouth Horizon Miser,2125,14.7
Mercury Lynx l,2125,17.3
Nissan Stanza XE,2160,14.5
Honda Accord,2205,14.5
Toyota Corolla,2245,16.9
Honda Civic,1965,15
Honda Civic (auto),1965,15.7
Datsun 310 GX,1995,16.2
Buick Century Limited,2945,16.4
Oldsmobile Cutlass Ciera (diesel),3015,17
Chrysler Lebaron Medallion,2585,14.5
Ford Grenada l,2835,14.7
Toyota Celica GT,2665,13.9
Dodge Charger 2.2,2370,13
Chevrolet Camaro,2950,17.3
Ford Mustang GL,2790,15.6
Volkswagen Pickup,2130,24.6
Dodge Rampage,2295,11.6
Ford Ranger,2625,18.6
Chevy S-10,2720,19.4
